Monte Carlo simulation number,Training accuracy,Validation accuracy,Bare class F1,Kelp class F1,Mixed class F1,Red class F1,Bare class precision,Kelp class precision,Mixed class precision,Red class precision,Bare class recall,Kelp class recall,Mixed class recall,Red class recall,Depth MDA,Slope MDA,VRM MDA,Mean Curvature MDA,Northness MDA,Eastness MDA,Flat geomorphon MDA,Ridge geomorphon MDA,Shoulder geomorphon MDA,Slope geomorphon MDA,Footslope geomorphon MDA,Valley geomorphon MDA,Median SST MDA,Standard Deviation of SST MDA,Bare class depth MDA,Bare class slope MDA,Bare class VRM MDA,Bare class curvature MDA,Bare class northness MDA,Bare class eastness MDA,Bare class flat geomorphon MDA,Bare class ridge geomorphon MDA,Bare class shoulder geomorphon MDA,Bare class slope geomorphon MDA,Bare class footslope geomorphon MDA,Bare class valley geomorphon MDA,Bare class median SST MDA,Bare class standard deviation of SST MDA,Kelp class depth MDA,Kelp class slope MDA,Kelp class VRM MDA,Kelp class curvature MDA,Kelp class northness MDA,Kelp class eastness MDA,Kelp class flat geomorphon MDA,Kelp class ridge geomorphon MDA,Kelp class shoulder geomorphon MDA,Kelp class slope geomorphon MDA,Kelp class footslope geomorphon MDA,Kelp class valley geomorphon MDA,Kelp class median SST MDA,Kelp class standard deviation of SST MDA,Mixed class depth MDA,Mixed class slope MDA,Mixed class VRM MDA,Mixed class curvature MDA,Mixed class northness MDA,Mixed class eastness MDA,Mixed class flat geomorphon MDA,Mixed class ridge geomorphon MDA,Mixed class shoulder geomorphon MDA,Mixed class slope geomorphon MDA,Mixed class footslope geomorphon MDA,Mixed class valley geomorphon MDA,Mixed class median SST MDA,Mixed class standard deviation of SST MDA,Red class depth MDA,Red class slope MDA,Red class VRM MDA,Red class curvature MDA,Red class northness MDA,Red class eastness MDA,Red class flat geomorphon MDA,Red class ridge geomorphon MDA,Red class shoulder geomorphon MDA,Red class slope geomorphon MDA,Red class footslope geomorphon MDA,Red class valley geomorphon MDA,Red class median SST MDA,Red class standard deviation of SST MDA
90,0.744047619,0.696202532,0.830188679,0.734693878,0.606060606,0.434782609,0.846153846,0.818181818,0.588235294,0.357142857,0.814814815,0.666666667,0.625,0.555555556,22.93032749,10.64442726,18.4168395,6.574053289,4.048068331,9.896505832,7.98413122,1.604697483,0.896415259,4.420766417,3.609975626,0.042552395,12.65491716,19.46201785,6.78626617,10.21679157,16.02950956,7.386204761,1.023561372,6.172667023,7.216940143,1.011619377,0.180557523,4.648767976,0.768097222,-1.002333725,5.709405143,4.064817579,17.94507968,7.771016912,8.927918571,0.717872478,3.466853913,7.20196094,3.714639427,1.396662036,2.46898875,1.653747505,1.19486565,1.047487184,13.04280545,8.197334925,3.607344684,0.092849034,5.459902815,1.188427046,2.518428154,0.448345621,5.661333269,0.710543799,-1.028400834,1.574887641,1.54673171,-1.002333725,6.370525169,19.60803901,20.46521549,-0.452492332,6.129823914,2.620201916,0.709192565,4.014796536,2.169549648,0.176771512,-0.523140169,0.16793106,3.532852955,0,1.641688483,7.810838483
91,0.707865169,0.753623188,0.85,0.765957447,0.666666667,0.666666667,0.944444444,0.75,0.5625,0.727272727,0.772727273,0.782608696,0.818181818,0.615384615,16.32931515,10.92538437,14.96367343,4.944222763,3.979541264,7.346944743,9.90620165,2.703221065,1.415488495,4.15056727,2.259743286,-1.344636541,11.87023781,19.05244551,5.953666077,11.10200028,13.90308591,7.405803587,1.45762928,3.276874424,9.785789431,0.568552078,0.153546574,3.70160788,0.892516755,-1.002333725,6.373024237,7.148471595,13.31957478,4.870131457,7.355321361,-1.25797157,3.026371485,6.034191583,3.628598429,1.991113581,0.570562856,2.260248359,-1.072594567,-1.002333725,12.1136565,10.37682175,3.051409093,1.434358191,2.181343917,0.46699062,3.934791762,-0.60859098,6.02228285,1.182740362,1.455473488,1.929262813,2.493707028,-1.002333725,4.099313224,16.86735742,12.47235146,2.691426747,6.274575393,-0.509254348,-0.765438195,4.672381264,2.523498205,1.402983912,1.390428535,-0.413431843,3.012582588,0,0.109836746,5.726690815
92,0.679558011,0.666666667,0.692307692,0.785714286,0.615384615,0.416666667,0.642857143,0.785714286,0.470588235,0.714285714,0.75,0.785714286,0.888888889,0.294117647,16.35319288,12.04468615,15.25293943,7.876730549,4.455928809,2.203832677,9.976618814,4.641039419,0.027569322,3.747191953,1.495934902,0.014458668,14.79929547,19.03816521,5.462450196,11.15981175,12.79616759,9.453136648,0.320150063,2.663248813,8.717005207,3.903877943,0.832690629,3.453028568,0.608023671,1.736242587,7.6295697,7.243832571,13.51556626,5.616278756,8.009261327,1.679796385,2.312470042,1.986109292,1.562606817,1.619876187,-0.042438789,0.409638998,-0.486196591,-1.412066486,12.6463187,8.82447708,2.158222974,4.143903608,3.83733623,-0.46126339,4.152997331,-1.896848311,7.07849403,2.566985291,-2.12384476,1.695762208,1.828764934,-0.657540518,6.665256081,18.1016002,11.68607878,-1.641153415,8.809015833,2.366432422,2.346498261,0.602576998,6.093326509,1.581780574,0.884350548,0.720451642,1.734985383,0,2.038104295,7.266867867
93,0.713414634,0.78313253,0.823529412,0.777777778,0.692307692,0.8,0.84,0.75,0.9,0.7,0.807692308,0.807692308,0.5625,0.933333333,18.58772024,13.23526018,13.38197762,6.252655776,4.442715043,5.645067769,12.40430079,3.551226356,-0.409577122,2.546682703,2.697415612,-0.915054579,13.74880227,15.62339874,7.207586414,10.74676148,11.20946612,6.066883421,3.238646814,0.543180161,11.35185339,1.879646762,0.708738699,1.832261228,1.959260114,0,7.060903046,6.45111709,14.37860949,9.259194837,8.369616411,0.190547154,2.648898589,6.013509334,6.118363587,1.993898611,-1.189685907,0.527125253,0.059959728,-1.002333725,12.05663472,6.878566905,6.809190911,2.620382242,4.617429118,0.337137108,4.178849048,2.305067447,7.355941239,3.18731989,-2.246044255,0.572521343,2.753404158,-1.018314395,5.198028008,12.71914767,14.33660169,2.335642938,5.672075714,4.693876175,-0.789105806,1.853934381,1.258224973,-1.36765879,0.672529607,1.53509932,2.573920711,1.002333725,4.445770509,6.838393963
94,0.735632184,0.739726027,0.775510204,0.808510638,0.64,0.64,0.791666667,0.791666667,0.571428571,0.727272727,0.76,0.826086957,0.727272727,0.571428571,18.832756,10.00304011,15.43956051,5.304456456,6.400562049,5.008824606,10.29199855,3.190164059,2.087627734,6.904033032,3.327056064,-0.785066054,12.57570203,18.55379748,2.821064617,7.868432514,13.73154732,6.895625205,1.0218283,4.448383777,9.23834567,4.051288525,0.493708781,4.772487058,3.656700311,1.002333725,5.285782343,6.033701944,14.59145777,5.810718057,8.479032069,-0.45578219,4.80577519,4.759394942,0.857095148,1.166512664,-1.242513587,3.362865283,0.770969509,0.083046812,12.09524987,9.689060531,6.497627675,0.639688702,5.782881176,-0.027530605,5.693990218,-0.948579818,6.803728403,-0.179326141,1.751115373,0.373078014,0.423893157,-1.720987952,4.342088545,19.24501621,15.92663537,3.541419116,8.125341251,2.196916707,0.159246904,0.869562833,8.671553773,2.939757145,2.389759025,4.740405254,1.589820867,0,3.335221599,7.360940489
95,0.695652174,0.662790698,0.745098039,0.724137931,0.628571429,0.428571429,0.826086957,0.677419355,0.647058824,0.4,0.678571429,0.777777778,0.611111111,0.461538462,22.58178327,13.086056,19.5536196,7.81013509,3.531294461,5.810748108,5.786441717,1.583360564,0.478244575,3.305013155,3.685239581,1.173545718,9.927239279,15.92340488,6.183460548,12.97588773,17.59085451,7.615070578,-0.885381675,1.834409409,5.769299917,2.813720419,1.111860867,3.047102675,1.552463518,-1.002333725,4.677127732,6.281877439,14.68422318,5.046403211,7.737947094,-0.199494631,1.364264607,3.857999652,1.17638095,0.989941481,-1.614622334,-0.507076204,1.150013006,1.642230629,7.952695765,6.728281588,5.341822949,0.512862806,3.157751962,0.708132947,4.317333322,1.075255154,3.40449833,-0.616652942,-2.483082563,1.708170752,1.209738553,1.331171575,1.969270048,16.01935524,18.22763262,4.199619,9.895765818,4.191933006,2.140481281,4.55356755,1.0009133,-0.112652733,2.653717313,1.256326707,3.342620027,0,3.20466394,7.152433306
96,0.691011236,0.768115942,0.782608696,0.789473684,0.692307692,0.785714286,0.857142857,0.789473684,0.642857143,0.733333333,0.72,0.789473684,0.75,0.846153846,18.02914744,13.49558193,12.23696151,5.766257484,7.012966018,4.129942929,9.459598656,3.588541462,-0.436961639,4.183794287,3.080874789,0.621208498,10.98389965,15.26103456,6.920195051,11.50809005,10.28071485,5.647566111,1.658062301,-1.184714603,8.788798657,3.49006198,1.785073009,2.552225223,1.925156682,1.737652179,6.199583535,6.697305053,14.13708304,9.508895724,9.5761173,0.023460482,3.28066219,5.424407234,3.665887181,1.789907946,-1.354099835,2.526223041,0.666378719,1.30500541,10.05030272,9.706739807,4.773674911,3.504034675,3.786926998,2.265043557,6.723456729,2.224222692,6.113660836,1.829731374,-0.919635093,0.402695265,1.160675221,-1.347747733,6.483838441,14.35906954,13.48176901,1.309178753,4.185336525,1.80106485,1.030426915,1.993633131,7.344783184,0.466434552,0.097426063,2.262752939,3.530368889,-1.002333725,-0.914663223,3.682335306
97,0.687116564,0.726190476,0.779661017,0.761904762,0.592592593,0.7,0.851851852,0.666666667,0.888888889,0.583333333,0.71875,0.888888889,0.444444444,0.875,21.63331293,10.20923869,15.31620805,5.538463171,4.576403508,6.772955953,7.841151817,2.962443074,3.249639274,5.474862389,3.331290285,-1.355856269,10.7943073,15.29837997,4.052548485,9.460545513,13.52279798,5.590265266,-0.03744333,4.57590399,6.955982671,3.50247078,0.2693914,4.598627703,0.78804477,0,4.980960851,1.608139384,18.23593893,5.535531229,7.825227599,-0.118336689,4.459141233,5.289127448,1.601489343,0.788991388,1.708591748,1.999327641,0.855362404,0,9.322541123,5.999787808,6.682355232,3.104962636,6.12494294,3.542642419,4.678259997,0.898999914,5.5237665,1.0697635,2.726462426,1.43435381,2.244265832,-1.410622685,6.105577268,17.42840011,15.54454263,0.702925352,6.709212248,1.31478914,-0.183570046,1.810537155,5.615887287,-0.200412095,1.805996301,3.619734839,3.19460071,-1.002333725,0.40241591,4.145129811
98,0.696629213,0.68115942,0.631578947,0.765957447,0.64516129,0.636363636,0.52173913,0.72,1,0.636363636,0.8,0.818181818,0.476190476,0.636363636,21.45222084,13.02595638,16.76572572,7.580757638,2.967792896,5.415687509,9.021267061,0.905891164,-0.330645789,3.826055639,2.742012878,0.756189563,12.84372157,15.12568806,7.036423167,11.38082025,15.36880183,8.932113764,-0.362423064,3.451296488,7.925235691,1.430480838,1.957562304,3.891047438,0.339156131,0.526393063,9.936890611,6.926367411,14.56179373,7.104857014,9.763454736,-0.972718336,3.996002089,6.162952041,5.642503399,0.839145648,-1.562008951,1.844790761,1.995470325,0.714037086,10.83706982,7.347335856,4.959680259,0.247541147,3.693167522,0.28296442,0.50843374,-2.48656722,5.250678748,-0.954769531,-0.817765419,-0.40031768,0.738254431,0.82129419,-0.426703113,11.78373908,16.34310059,3.713774032,7.518265821,1.780694102,1.419745974,0.805121744,0.866451713,0.228430871,0.066001127,2.657752473,2.643318022,-0.92031891,0.809916675,7.268502755
99,0.740540541,0.725806452,0.810810811,0.772727273,0.5,0.695652174,0.75,0.739130435,0.714285714,0.666666667,0.882352941,0.80952381,0.384615385,0.727272727,22.00603368,14.14429773,17.32383139,5.825180413,8.698030556,5.975110797,7.876584788,5.321144982,1.457512999,4.997896645,3.420319513,1.024226874,17.33220136,15.79237198,7.349329063,12.24052584,13.9979159,7.866178798,2.559887093,5.74842483,7.032749506,4.513834063,0.347317916,4.809605998,0.271899576,1.002333725,9.333584737,5.163965232,17.59949096,8.85656132,12.00853913,-1.301686887,3.485896159,3.909853142,3.714096635,1.47552044,-1.21534257,0.836511219,0.153071344,1.027142342,14.99375482,7.000473611,7.639552858,3.56806149,4.651656286,1.082661267,9.513533021,1.918071518,6.807740764,1.301987564,2.991758313,0.720000367,3.628226845,0.264902732,10.95925903,15.78541734,16.6798746,1.682677017,6.598490427,2.253386083,3.309025769,-0.9997396,0.739514577,2.283374025,0.33514578,3.101353273,3.158593361,0,1.301586585,7.232700298
