Monte Carlo simulation number,Training accuracy,Validation accuracy,Bare class F1,Kelp class F1,Mixed class F1,Red class F1,Bare class precision,Kelp class precision,Mixed class precision,Red class precision,Bare class recall,Kelp class recall,Mixed class recall,Red class recall,Depth MDA,Slope MDA,VRM MDA,Mean Curvature MDA,Northness MDA,Eastness MDA,Flat geomorphon MDA,Ridge geomorphon MDA,Shoulder geomorphon MDA,Slope geomorphon MDA,Footslope geomorphon MDA,Valley geomorphon MDA,Median SST MDA,Standard Deviation of SST MDA,Bare class depth MDA,Bare class slope MDA,Bare class VRM MDA,Bare class curvature MDA,Bare class northness MDA,Bare class eastness MDA,Bare class flat geomorphon MDA,Bare class ridge geomorphon MDA,Bare class shoulder geomorphon MDA,Bare class slope geomorphon MDA,Bare class footslope geomorphon MDA,Bare class valley geomorphon MDA,Bare class median SST MDA,Bare class standard deviation of SST MDA,Kelp class depth MDA,Kelp class slope MDA,Kelp class VRM MDA,Kelp class curvature MDA,Kelp class northness MDA,Kelp class eastness MDA,Kelp class flat geomorphon MDA,Kelp class ridge geomorphon MDA,Kelp class shoulder geomorphon MDA,Kelp class slope geomorphon MDA,Kelp class footslope geomorphon MDA,Kelp class valley geomorphon MDA,Kelp class median SST MDA,Kelp class standard deviation of SST MDA,Mixed class depth MDA,Mixed class slope MDA,Mixed class VRM MDA,Mixed class curvature MDA,Mixed class northness MDA,Mixed class eastness MDA,Mixed class flat geomorphon MDA,Mixed class ridge geomorphon MDA,Mixed class shoulder geomorphon MDA,Mixed class slope geomorphon MDA,Mixed class footslope geomorphon MDA,Mixed class valley geomorphon MDA,Mixed class median SST MDA,Mixed class standard deviation of SST MDA,Red class depth MDA,Red class slope MDA,Red class VRM MDA,Red class curvature MDA,Red class northness MDA,Red class eastness MDA,Red class flat geomorphon MDA,Red class ridge geomorphon MDA,Red class shoulder geomorphon MDA,Red class slope geomorphon MDA,Red class footslope geomorphon MDA,Red class valley geomorphon MDA,Red class median SST MDA,Red class standard deviation of SST MDA
100,0.666666667,0.780821918,0.808510638,0.851851852,0.588235294,0.714285714,0.76,0.821428571,0.714285714,0.769230769,0.863636364,0.884615385,0.5,0.666666667,15.61302151,14.51654593,14.24473507,7.951686725,5.504262426,5.309608819,9.237584532,2.547071701,-1.505996885,3.949838726,3.475739264,-0.03962215,13.32227225,14.6227591,6.989985595,13.24949792,13.49206775,8.99761401,1.328836064,1.841512724,8.555562823,2.902286182,-1.011629385,3.744122276,1.980516002,1.546633114,6.798062465,4.317505222,9.711959844,8.74260114,4.32072302,-3.376109968,2.419921259,3.80761939,2.975333725,1.967737962,-1.604155815,0.425272636,0.356963169,1.414948014,12.37154479,6.766290571,5.932884287,1.922732485,6.204484842,4.808273639,4.217646361,3.642096141,6.915343507,1.441187116,-0.088217815,2.00672991,2.445704424,-1.549180974,6.549435561,16.2366686,10.57087102,0.791499094,5.97594665,3.487844519,1.884011887,1.226572797,1.550442187,-1.500163437,-0.343091052,0.440475898,1.956842859,-1.002333725,-0.374810112,3.526758934
101,0.69047619,0.746835443,0.75,0.791666667,0.733333333,0.6875,0.857142857,0.703703704,0.733333333,0.6875,0.666666667,0.904761905,0.733333333,0.6875,15.91133253,9.737934504,17.79218035,7.091277463,6.37790054,2.921342114,8.582333937,3.118916983,1.842038908,5.64117019,1.275366545,1.546191916,12.14835816,16.2782723,4.664648671,9.937264142,14.41841116,7.0979566,-0.180023048,1.104728983,8.150434393,2.431576645,-0.523121476,3.738948095,0.046769048,1.668459326,6.24514687,3.145868811,12.81374607,7.469663221,10.09607385,1.700463387,1.592067946,3.131646583,1.778376278,3.399185951,0.449066883,2.440234022,0.14909495,1.476995058,10.83080252,8.865596036,3.886070908,0.260394125,4.510934584,0.992291658,9.502248618,2.105093025,5.831039372,0.621703117,2.744442958,4.087952406,0.829285233,-1.408792459,5.240034691,14.37663443,12.16261086,-2.98198383,4.387883744,3.237747146,0.120394717,-0.930934034,5.216635125,0.509791816,0.496219017,0.43851985,1.992463587,-0.233439012,-1.127775015,5.885759075
102,0.709497207,0.676470588,0.65,0.761904762,0.615384615,0.642857143,0.722222222,0.8,0.571428571,0.5625,0.590909091,0.727272727,0.666666667,0.75,19.57518226,16.21700467,15.52661279,8.132060537,5.52246871,3.251544995,7.249819097,2.963956145,-1.499952689,5.207433311,2.083103286,0.69389064,11.87729741,14.85777696,6.067184135,14.14433353,14.91533505,9.40102377,-1.022627443,2.552880493,6.848517515,4.325374508,-2.630822694,5.735032064,3.176588655,-0.20905695,4.940245569,3.048728089,13.94188444,9.773994318,7.23065625,0.010173272,3.071127252,3.388981113,3.127789363,2.09414205,0.633012962,0.373493281,-0.839169052,-1.002333725,10.01765652,6.801332514,3.411918251,4.453633672,1.729301946,1.328065303,7.193424552,-0.061569549,5.570788894,1.245796264,0.507977644,1.377546579,-0.965324091,-1.002333725,6.823042802,15.31040356,15.70623213,4.31267484,6.173967716,2.767942097,1.012305227,-1.043868327,1.916736174,-0.061931331,-1.058901725,2.443325623,2.546411096,2.001885465,1.569293479,4.589590838
103,0.668674699,0.790123457,0.9,0.8,0.666666667,0.64,0.870967742,0.833333333,0.5625,0.8,0.931034483,0.769230769,0.818181818,0.533333333,17.06117635,12.78459837,12.47439853,5.17266068,6.587484171,3.73277145,11.35486736,2.194015641,0.492139902,4.337380869,2.97495517,-1.982250529,14.63633971,18.15555805,6.207653623,10.92936625,11.83052197,6.583140088,0.816974629,3.984047741,10.59867849,1.379197728,-0.755337586,4.002640439,2.560009646,1.70291136,5.685859085,4.928531909,13.37271994,7.059272988,7.073305597,1.503353208,5.002006077,2.129486495,1.720120944,0.657117399,-0.569826224,2.072463483,0.591635611,-1.177503205,13.55016605,8.334388867,3.64693425,3.890866141,1.541435026,-1.483085032,4.941479466,0.749334096,7.041730883,1.445283209,-1.04137024,0.407438955,0.609045841,-2.176794696,3.596785757,17.56748595,12.21700686,0.697455724,2.794957019,2.397387144,2.194747721,-0.100479771,1.989573339,0.964789839,2.380588764,0.7866183,2.474155111,-0.636963789,1.749762896,3.463134
104,0.747058824,0.649350649,0.782608696,0.681818182,0.5625,0.5,0.857142857,0.625,0.5,0.571428571,0.72,0.75,0.642857143,0.444444444,21.81815744,11.12079807,19.38690438,7.323303535,6.926813044,5.752196882,5.573316707,4.397461023,2.0197723,4.975205818,1.100201408,-0.462792552,14.6158502,16.68112213,6.337745433,10.27608319,17.99738289,7.934874294,1.919985338,2.920013176,4.238813413,5.91946306,-1.806905117,4.485834381,1.713064673,-0.050031492,7.055896307,5.506548916,18.09635765,6.672457036,10.21345786,2.413166582,3.43739331,6.922838585,3.3495491,2.501726974,1.728858685,3.628511193,-1.120139429,-0.756363574,12.47845382,7.120037506,3.733167551,0.215340927,5.858825736,0.67690256,6.124079569,0.058102107,4.186751093,-0.388398523,-1.019908146,1.490517387,0.568768808,-0.541383275,7.595475279,17.01983575,18.8808968,0.699180682,7.109807603,3.224959492,1.575456056,-0.246725753,0.465119915,-1.817849989,2.495185959,1.691064578,1.668252772,1.002333725,1.151058397,7.179942661
105,0.685714286,0.763888889,0.816326531,0.727272727,0.631578947,0.8125,0.8,0.727272727,0.6,0.866666667,0.833333333,0.727272727,0.666666667,0.764705882,21.32791509,8.973932079,14.63541908,6.032440263,5.998791987,4.603017853,10.12931895,3.966613707,0.860089673,2.284627575,3.763221847,-1.192122723,12.79495898,18.80716275,4.196672164,7.380056875,13.19318551,5.845442619,1.044715954,-0.621666019,9.547815021,5.144788989,0.262749238,2.332751137,3.830758966,-0.589568037,5.993003403,6.271155582,17.55264489,6.174985985,9.797357818,1.245614109,5.503515141,5.854774963,5.115524199,1.031116791,-0.571226931,-1.077404453,1.108364972,0,12.80461462,9.884675514,10.35812131,3.299435915,3.644229239,1.759630468,5.296849392,2.325773553,6.322781178,0.963950591,0.912980796,1.528655822,1.98815989,-1.151924552,3.415739103,18.51232372,12.9787322,1.935725669,3.586628661,2.173488552,-0.311855965,-1.042391462,4.501593879,-0.209391949,0.63513281,0.076241501,1.684277825,0,-1.094394122,2.929025629
106,0.75,0.718309859,0.755555556,0.765957447,0.608695652,0.666666667,0.772727273,0.782608696,0.636363636,0.6,0.739130435,0.75,0.583333333,0.75,20.24795423,12.62145228,16.77882553,4.295415843,6.728796521,2.701891736,8.328054263,1.104491246,0.072849698,4.628974959,0.218901488,2.018325354,17.15012132,17.53181009,8.109934747,11.6899468,15.33938299,4.59435146,2.387548976,-1.228256668,6.933291754,3.296053754,-0.110709151,4.619965088,0.669581054,1.739661745,10.05086689,7.86992501,14.69346961,6.922477046,10.84555742,-1.901197227,1.700893014,3.632695391,5.81572943,0.994822484,-0.613803485,-0.282899594,-1.166398698,0,13.18546973,9.653682106,5.091078543,3.369318255,5.438219715,2.400621187,6.123360929,1.243611583,5.782381012,-0.532050078,1.707879152,2.955289872,1.111371439,0.156182621,7.869468656,17.41658998,14.18293287,0.564874584,6.597200122,2.804308026,4.043218589,0.189059332,1.925139516,-1.6643942,0.3645206,1.109386421,2.201649512,1.002333725,2.568937826,4.092971138
107,0.703488372,0.773333333,0.85106383,0.75,0.689655172,0.769230769,0.869565217,0.72,0.714285714,0.769230769,0.833333333,0.782608696,0.666666667,0.769230769,22.18839991,14.78243446,16.04040365,8.757930614,6.794054405,4.193782354,9.700335149,2.275718826,0.033463695,5.397842892,1.346195677,-1.823510437,15.57215392,15.1460277,7.476196215,10.8917308,13.87022151,9.459110007,2.793656208,2.366851473,9.072292317,2.694859758,1.316863501,4.977757148,1.184422381,0,5.496492058,5.448203053,16.87610616,10.00741748,8.508577748,0.700044266,3.258882736,4.46380502,3.159187093,2.782360198,0.346890926,3.1848006,0.630166794,0,16.41798801,7.652289963,6.353624908,3.739864749,2.640384448,3.737841346,7.592242551,2.485548592,5.701981418,-1.780485793,-3.133728974,0.984686286,-0.701626899,-2.473019777,4.774119346,15.66310892,16.38110587,2.820137713,5.922333135,2.515297869,0.497151193,-1.425880617,2.978874048,-1.158019317,0.729264538,3.831729736,1.998005171,1.002333725,0.908748156,5.220073602
108,0.660714286,0.759493671,0.711111111,0.816326531,0.774193548,0.727272727,0.761904762,0.740740741,0.923076923,0.666666667,0.666666667,0.909090909,0.666666667,0.8,17.80976664,11.79019693,17.10326607,3.004588306,2.37504955,7.302262045,9.491270762,1.441198999,-0.52494421,3.880270109,5.398535539,0.528612269,7.346961992,12.77644354,4.490083202,9.559184546,14.35466962,5.523876769,-0.860198841,2.18874472,9.30572665,1.876099538,0.96938066,3.340246309,3.481675069,-0.267166669,1.429455817,1.564921505,10.04458067,7.969995034,12.64790082,-2.270208506,0.056090976,7.305625048,2.717701073,0.931771069,-1.954572686,0.279536771,1.874632579,1.166409199,8.676451052,4.647814439,6.988755395,2.117070454,3.540230688,1.562996237,2.553284962,3.022483175,6.381007764,1.032079828,1.002333725,1.246428493,2.449548928,-0.159922942,0.866978733,14.18216114,13.92962555,0.962271162,9.023035911,0.109746024,3.735254496,0.204329954,6.64387465,-0.96992251,1.117180484,1.43609127,2.522916972,0,2.328210505,4.494906405
109,0.670731707,0.686746988,0.784313725,0.72,0.5625,0.606060606,0.769230769,0.692307692,0.6,0.625,0.8,0.75,0.529411765,0.588235294,19.54013721,11.88150304,16.45366182,5.533737603,6.834281786,2.030594832,6.269456305,-0.23843387,3.466255417,4.317137353,0.520254095,-0.263265083,9.582257095,13.86172282,3.458204355,10.34464601,14.42392191,7.17365512,1.622169125,-1.099383491,6.25325708,2.621250454,-0.306982076,2.220498081,1.00499554,-1.002333725,4.056058576,7.316227667,15.68391779,6.78825474,10.76824198,-0.825706205,2.545013359,1.685469699,2.027293006,0.353231589,1.736237328,0.908312764,-0.593482221,1.417661169,9.920138211,6.558857722,9.319236355,0.726902364,1.891911698,0.035339637,5.048286258,0.947607876,4.452867112,-1.168532342,2.834000185,3.667625032,-1.000698631,-0.89649592,1.335832124,11.5816525,12.79134011,4.248497362,4.95019698,1.215344189,4.03571393,3.414659358,2.623595077,-2.153650137,2.468775914,1.27423585,2.218960434,0,2.120643831,6.420861015
110,0.687150838,0.720588235,0.790697674,0.85106383,0.352941176,0.620689655,0.739130435,0.869565217,0.5,0.5625,0.85,0.833333333,0.272727273,0.692307692,22.39979715,14.37164655,12.74151799,10.45660381,5.180439699,6.824981143,9.774442879,5.689576566,-0.212877277,5.027361424,1.921703739,-1.240811922,12.28715706,20.25774818,8.382312125,12.6282739,11.92938117,9.101241896,2.091582456,1.660847131,8.838154312,3.944431132,-1.271156448,4.773405255,1.752083782,-1.002333725,8.641417833,8.754194899,12.28313197,9.223562382,6.811787244,1.927571334,2.48673951,5.143772201,0.985109672,1.966120947,-0.057893323,1.534515351,0.149229193,-0.54729495,9.975329543,8.806445383,11.95113635,3.295243853,4.378037614,4.091231977,3.396202969,1.297039703,8.155825369,2.540454534,1.486877535,1.247882641,0.149595713,-2.137621164,2.459605465,18.77449759,15.48726208,2.537344304,3.672813187,4.127530709,1.851947385,5.332625755,2.620397577,3.999887419,-0.292052334,2.12318765,2.737488525,2.00357905,1.666789605,7.591565145
111,0.728813559,0.742857143,0.789473684,0.782608696,0.64516129,0.72,0.789473684,0.782608696,0.714285714,0.642857143,0.789473684,0.782608696,0.588235294,0.818181818,20.48698407,15.19642275,15.62433216,8.721887884,4.697950106,7.712835425,7.854478126,3.981687537,0.68285176,5.713803646,3.247215156,0,16.13428122,16.44921887,8.89594139,12.43637488,12.88149174,8.116994988,0.92952018,1.723154364,6.641608812,3.938674345,-1.868543021,4.821220351,2.16700906,0,7.682698816,8.351574464,13.82347137,10.00252393,9.458479055,3.380684066,3.47206973,8.123872526,2.273491958,2.403765068,0.834385882,1.251285118,-1.507852402,0,11.92644861,6.616966727,3.658286694,2.837964185,3.090615856,0.361713522,2.296952218,1.749377017,5.749953693,1.941133647,1.002333725,3.577754294,2.502065489,0,9.949185529,15.61321174,16.58195782,2.696397633,8.24429421,2.50181393,2.341054241,1.869982992,6.366341292,0.117791813,2.186784331,2.644007019,3.62081616,0,1.248181871,7.124055325
112,0.723163842,0.657142857,0.684210526,0.740740741,0.526315789,0.551724138,0.722222222,0.714285714,0.555555556,0.533333333,0.65,0.769230769,0.5,0.571428571,20.31948796,9.602224932,21.04292413,7.881677758,4.619714929,6.545156679,8.671021234,2.296983276,-0.564555689,2.780339171,1.784721123,0.741699925,14.33259789,17.61890698,7.488324061,9.647500131,20.21323278,8.576843181,3.003279471,2.301954007,7.78887595,1.360851219,-0.057787112,2.648681063,0.299081794,-0.143568916,6.798122791,4.723849044,14.94109842,5.683761914,8.462683169,-1.42098144,2.650633727,7.139760257,2.20742558,0.808456464,0.036250082,-0.068383402,1.043409395,1.86010337,13.52267524,5.833406002,8.101909926,-0.621094496,7.336016238,4.638076588,2.771003578,1.488735149,5.659719773,2.084233894,0.453066679,1.48215314,1.155075633,-1.956487263,5.8695402,16.92546844,15.68750476,0.391205845,7.842154205,0.94783693,0.544718329,0.121417728,1.406893841,0.64270181,-1.041897665,1.857173702,1.691362808,1.73645361,0.203527949,7.563589958
113,0.684210526,0.75,0.8,0.816326531,0.666666667,0.666666667,0.941176471,0.740740741,0.578947368,0.769230769,0.695652174,0.909090909,0.785714286,0.588235294,14.67980456,11.51579861,17.39469092,8.545319064,9.341111391,6.496517003,7.279685609,2.541486693,0.45414279,3.024688114,-0.737168765,-1.435267173,11.23550169,16.07985899,5.597344482,9.969712261,16.12098261,8.449189091,2.690310192,0.019333667,6.440265286,2.634708007,-0.420671806,2.087094973,0.707979418,-0.122517055,6.723006392,9.076952157,10.35164412,6.846852428,9.15278464,4.886464912,6.351906595,7.693800047,1.223336676,-0.056843251,-0.597824227,2.403548915,-1.58061812,-0.713480898,8.335860852,6.757351064,2.425648387,5.576182572,5.855685697,0.696028302,8.797631752,3.055210459,4.313674308,0.152247061,-1.002333725,0.266109094,-1.72704562,-2.190004099,4.558445111,13.50487742,11.04467772,-0.004525015,8.054258643,2.83658735,0.796673144,0.949532409,4.27420253,1.636958045,1.486534776,1.844587835,1.418362753,1.410622685,1.802992143,5.157505326
114,0.651162791,0.773333333,0.8,0.88,0.647058824,0.692307692,0.761904762,0.88,0.733333333,0.642857143,0.842105263,0.88,0.578947368,0.75,19.22018099,10.34554638,15.4718692,6.704097321,4.135022389,5.732769263,8.997358582,5.051860035,1.038607584,5.208337556,2.307706642,1.928094835,12.02246533,12.80720055,5.897154258,9.717360403,13.4764525,8.374124743,0.623075129,-0.648492503,8.062494286,3.727627874,0.601059717,5.001205067,1.223548321,0.154345697,4.725635031,5.914042661,12.68070351,5.842165687,7.384386672,-1.65069082,2.90649781,7.098192198,5.384282979,3.986400597,1.636570125,1.774038583,1.544348221,1.384252696,11.52973693,5.555507357,4.161147402,0.617286856,4.176158751,2.164127488,2.890808434,0.172135785,5.536227482,2.068781673,-2.230468032,3.315673035,-0.570192375,2.074304415,2.715165677,11.97332268,15.14720639,0.611724926,5.608624659,2.234683277,2.276299272,3.432139646,1.596870624,1.901920016,1.360744482,-0.127510164,2.026547821,-0.168507913,1.539258699,4.755772312
115,0.745762712,0.742857143,0.807692308,0.789473684,0.666666667,0.608695652,0.777777778,0.75,0.642857143,0.777777778,0.84,0.833333333,0.692307692,0.5,18.53399877,12.96247208,16.27698994,6.45342926,5.17080401,3.623667149,8.480683199,3.282121237,-0.368080754,5.958516519,1.677923618,-0.446225121,15.42903625,19.84730774,4.316822909,10.96842924,13.45032725,7.909112563,2.540303297,-0.047041392,7.126568713,2.190690015,-2.00820726,5.489592542,2.15634912,1.417661169,6.239253743,6.189987889,15.30703612,7.165318905,8.581590354,0.134583083,3.436269943,3.469586317,4.497341669,0.927624061,0.398005142,1.165443496,-1.942538296,-1.149817014,15.51181924,11.14855287,5.124936325,4.510112061,7.231222761,3.575872146,4.038802109,2.20550816,6.31945752,0.414935976,-1.991474255,2.091649542,2.202939501,-1.002333725,3.90538361,18.21006071,15.08377288,3.316317381,7.032208955,0.505406854,0.331440613,1.571212984,2.66015291,2.98188965,2.13000183,2.636082138,2.85889827,0,5.794776284,8.0048931
116,0.75739645,0.679487179,0.693877551,0.765957447,0.625,0.571428571,0.62962963,0.818181818,0.666666667,0.571428571,0.772727273,0.72,0.588235294,0.571428571,18.06269088,11.13509189,18.86839555,7.67466103,7.620846298,2.794057682,9.155438861,1.328535862,1.516448555,4.533814517,1.469113863,-0.021463712,14.84674259,15.38002352,6.772264886,9.374708389,17.40411629,7.559846744,0.335223071,1.438303613,8.621992388,2.025157245,1.584596841,3.098617592,0.753599558,0.729776928,7.445559614,6.453017346,13.47762667,6.696650618,12.52397748,-2.5172286,5.139888053,2.058605202,5.763138836,1.008938598,1.052445304,0.752594355,0.586613414,0.14072599,12.99445163,7.041369206,3.902667098,1.117271155,4.857997998,5.73627624,6.943781209,1.306081287,5.239280177,-0.726837869,-0.298906081,1.801895321,1.651327305,-0.335247501,7.712498628,14.6542543,13.13890024,2.636261168,7.756781014,2.882880803,2.214454311,0.939789035,0.082131638,0.15170723,-0.050039681,1.450312935,1.002333725,0.461991159,1.07876524,5.795275867
117,0.695402299,0.726027397,0.680851064,0.772727273,0.782608696,0.6875,0.695652174,0.708333333,1,0.647058824,0.666666667,0.85,0.642857143,0.733333333,19.73630247,10.23193681,16.43091004,7.327860779,3.632293037,5.562520503,11.49851241,3.473105716,-0.701195171,2.161302884,1.668941527,-0.599702248,12.55973988,16.75776007,3.77578574,10.34133511,13.65662877,8.774471158,3.249260274,2.645921658,10.89674626,0.514679123,-1.002333725,2.209508261,1.622349719,1.002333725,6.966669026,6.838924091,15.11269504,3.789875537,9.375171431,1.598413289,3.638652677,4.871154852,3.70146583,4.564402919,-0.098844811,0.040275307,-1.441555425,-0.846387777,11.71277085,8.28278163,6.001543105,-0.070055854,3.680984266,-1.654137833,0.920444043,0.18459291,7.030730595,-0.294994581,-1.755200143,1.659090235,1.484329562,-0.927901409,4.791505243,15.12448483,14.26311833,2.047993461,8.488104134,3.330778945,-1.132685949,3.062200585,3.406956177,0.72293663,1.514092289,0.214745642,1.002333725,0.182927462,-0.908904611,7.254692326
118,0.744680851,0.762711864,0.838709677,0.837209302,0.64,0.631578947,0.866666667,0.857142857,0.5,0.857142857,0.8125,0.818181818,0.888888889,0.5,21.09099133,12.10338213,15.6343638,5.966413397,4.754218753,7.18305106,8.975093937,3.696619253,0.672291746,5.206936639,4.846360868,-0.159842661,14.3891002,18.59721245,7.99760098,11.62403193,12.98153049,9.090013645,1.88039268,1.440836639,8.292278475,2.785296682,-0.521191073,4.674416665,3.686319107,0,8.999357254,6.256626185,14.14952895,5.379458226,8.71404282,-1.318437326,2.438482811,7.807691105,2.445005899,2.155159658,1.154372202,1.771250071,0.504716887,0.604185421,11.1402891,5.501824672,8.06771429,2.899095016,4.804621907,0.539608182,4.607607481,1.130127342,6.457914608,0.883627331,2.580812253,2.203557126,3.258846393,-0.152617401,9.535185144,19.00008111,15.21244422,-0.260455338,6.663568457,0.053339894,0.427607821,1.882628396,2.050735742,-0.303898313,-0.635523914,1.259944386,4.012122556,-0.97864392,1.209261125,7.901573794
119,0.678362573,0.723684211,0.722222222,0.888888889,0.64516129,0.516129032,0.722222222,0.888888889,0.666666667,0.5,0.722222222,0.888888889,0.625,0.533333333,22.08922428,11.8474863,12.31995669,6.906051386,6.602377571,3.061710593,12.80862646,3.306576865,0.821928222,4.770135033,2.187393992,0.721596234,12.37249991,16.7252024,8.735858684,11.87492113,10.45037464,9.270355349,1.706434047,0.692536022,11.48555838,3.62126309,0.53460184,4.962657099,1.774275776,1.002333725,4.173500457,8.166338417,13.88697377,5.1501349,8.118122454,-0.040177739,3.16674273,4.151858289,3.057895232,1.620041499,-1.814647459,1.617417539,2.061833151,-1.664980349,12.08783472,7.170937945,3.787021779,0.926568358,2.086908897,-0.387296009,6.844390093,-0.10891264,7.614292354,-0.794464528,1.556295938,1.785094511,-2.785979712,2.251985792,5.241956716,15.51659418,15.39984671,-1.413575464,5.165624459,-1.336689929,1.326005925,-0.251644906,7.623077463,0.389306045,1.24195753,2.993506879,2.323264445,0,1.12876776,7.139681585
120,0.762195122,0.662650602,0.740740741,0.681818182,0.615384615,0.551724138,0.740740741,0.681818182,0.571428571,0.615384615,0.740740741,0.681818182,0.666666667,0.5,21.89716665,14.3012768,18.21507992,7.519282269,6.515224242,5.147234267,8.822137391,2.750430914,-0.458296573,5.39361326,2.73869079,0.69702198,14.53089265,16.86882383,7.163839836,11.2604131,15.80458345,8.331303334,0.801246576,-1.061583254,8.323360865,1.724962321,-1.878281616,5.15185082,1.878463649,0.636963789,5.845749657,6.98239854,15.31765951,11.27751804,11.87385866,0.186456628,2.422819113,7.247367382,6.666079185,1.041939317,0.394083276,2.699158714,-0.214330057,0,14.87630028,8.190637668,4.736580246,-1.218498651,2.353491972,0.684525933,7.173165979,-0.001423927,5.221682617,1.342083081,-0.456967031,0.885983745,0.767067705,-1.002333725,7.228796637,15.40325763,17.82130168,2.553564649,7.573480231,1.601413175,1.811094688,2.198568589,3.050475719,1.026001765,1.0707618,0.825226507,3.07345224,1.002333725,1.770927148,6.063377916
121,0.729411765,0.74025974,0.808510638,0.716981132,0.774193548,0.608695652,0.826086957,0.703703704,0.857142857,0.538461538,0.791666667,0.730769231,0.705882353,0.7,20.03029442,11.48892537,15.32724546,7.899973209,8.540084457,3.769480217,9.338511701,1.927346056,-0.54238859,5.147967823,2.582553531,-1.676877789,17.90742966,16.8047074,7.368314318,9.683321073,14.39528109,10.0775804,4.388264929,1.583704972,8.423268547,2.967746882,2.005854355,2.938571387,0.835068579,0,7.386386269,6.192252476,14.41999792,3.834549078,9.401336824,-1.383620569,4.619856098,2.625327459,5.088733777,1.095182845,-1.914949968,1.845983289,2.540260785,-0.41911094,14.60277414,7.595764374,4.50834208,2.489403246,5.347140266,0.456384941,5.902602987,2.363667467,6.06624175,0.052977245,-0.030381311,3.765826517,0.521981758,-1.41372049,9.577931654,15.52524982,14.59477461,4.047412671,6.256484116,1.943064844,2.268094119,0.461228145,3.798117434,-1.747898419,-0.013973084,3.075618515,1.653827609,-1.002333725,1.724658346,7.38228612
122,0.728813559,0.7,0.684210526,0.648648649,0.8,0.685714286,0.684210526,0.705882353,0.857142857,0.6,0.684210526,0.6,0.75,0.8,21.18611922,12.6223644,16.00071081,5.815372043,5.762274514,4.967771506,10.50804962,2.098442374,-0.471084128,5.833060351,1.673481108,0.96527122,15.65410764,11.45928356,5.212368981,11.48033304,13.05115948,5.657096875,-0.224733886,2.297556803,9.008132167,3.710255255,0.797205418,6.513227889,1.306655096,2.219691239,5.684588243,3.167170248,18.25629609,6.130080623,12.71190765,-1.047688309,2.165743558,5.194550232,7.833593501,-0.279156725,-0.510886488,1.358026781,1.352292847,-0.221605211,16.29213345,5.032369892,3.6904587,0.874539547,3.804111854,1.16768563,5.543701283,0.974584135,5.608029831,1.100917645,0.606997875,0.962494901,-1.310713195,-0.426618534,4.001774186,12.50817454,16.00221162,4.403974696,5.48840338,2.924565858,2.654124627,1.198868731,1.691677549,-0.766671167,-1.65223417,-0.567953777,2.209166693,0,2.10064751,3.212365197
123,0.678362573,0.828947368,0.897959184,0.893617021,0.666666667,0.75,0.88,0.84,0.615384615,0.923076923,0.916666667,0.954545455,0.727272727,0.631578947,15.04631199,11.84900191,14.26074737,6.115353689,6.890567221,7.814535942,11.44418808,0.733283695,1.005809157,7.474890551,1.057285699,-1.406085278,9.99121112,17.96266808,8.818805038,10.53446558,12.98634738,7.639872351,2.467502671,2.999735036,10.75177862,2.168516147,0.985677445,7.22967642,0.954490227,-1.002333725,6.882435675,7.386114893,8.42401875,8.07088613,6.199732372,-1.646314897,2.492200878,8.119175677,5.454395411,-0.84718966,0.11037955,0.851601021,-1.290096222,1.002333725,7.403615136,7.304706223,6.415864566,0.514534368,3.777845872,1.497066654,7.195738532,0.388450417,6.281883079,1.368821067,1.466224126,3.999686686,1.721144751,-1.297373457,5.400528377,18.98785575,10.02612126,1.301082828,2.765325195,-0.219300919,0.526805436,2.515266996,-0.77595661,-1.041838373,0.181354477,3.010242553,2.228917157,-1.002333725,0.040642815,6.089397528
124,0.738372093,0.6,0.730769231,0.577777778,0.533333333,0.434782609,0.791666667,0.541666667,0.615384615,0.357142857,0.678571429,0.619047619,0.470588235,0.555555556,23.07477474,12.09446445,13.45143312,3.371008479,6.312749348,5.163790471,12.62419708,5.443948671,0.475674858,4.274088216,2.185792649,0.899137272,13.02430197,16.56246762,5.82724112,10.45754771,10.92134476,4.530715584,2.088819347,-1.416068887,11.86026352,1.624448429,-0.033200181,3.583262491,-0.70599552,1.418855309,7.319827883,8.429687488,17.17847009,8.692172214,10.08382309,1.486531879,5.682042831,5.96271168,4.124909128,4.50521138,0.993179674,2.662885512,1.287527535,0.582500426,10.75608204,5.963328508,7.772333504,1.306122674,2.961930189,1.52642753,3.012637603,1.158425062,7.178975846,3.492944567,-1.955067093,-0.691101356,1.596444674,-1.002333725,3.633554762,14.99927174,19.73579965,2.577655334,7.788479356,-0.28654167,1.705883566,3.369720887,8.652388654,2.308215118,1.091843214,3.432052854,2.282957057,0,3.889402813,9.229393037
